loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z)
2022-02-02 13:21:09.714 +0000,7177.432077291667,0.2173919677734375,0.4530029296875,-0.870574951171875,7177.417154291667,0.1411544660222887,0.2314316934889548,-0.4906887564930613,0.05234510079026222,-0.0239608995616436,-0.1066850498318672,0.004266023635864258,-0.002041041851043701,-0.01614052057266235,XArbitraryZVertical,-0.2485635016997678,0.09470765943090712,0.03997563629580395,0.9631451995182321,0.2023074179887772,0.4712334871292114,-0.8584932684898376,0,0,0,-1,-1
2022-02-02 13:21:09.780 +0000,7177.447000291667,0.1995697021484375,0.42059326171875,-0.8636474609375,7177.437051291667,0.1382391025362432,0.2291397990097408,-0.4884227265445703,0.1160496473312378,-0.06985178589820862,-0.1099264994263649,0.01681059598922729,-0.01623073220252991,-0.0105825662612915,XArbitraryZVertical,-0.2472935690566974,0.09407278093580004,0.03900049509594419,0.9635741742557269,0.2005813419818878,0.4692336320877075,-0.8599923849105835,0,0,0,-1,-1
2022-02-02 13:21:09.791 +0000,7177.461893291667,0.167755126953125,0.3758544921875,-0.855712890625,7177.456918291668,0.1357934885788363,0.2259657140046809,-0.486006742246167,0.08324474096298218,-0.110644519329071,-0.04827234148979187,0.004013821482658386,-0.06425151228904724,0.004656076431274414,XArbitraryZVertical,-0.2459580732574184,0.09295747953386943,0.03836594459581377,0.9640496028938385,0.1981040686368942,0.4670987725257874,-0.8617270588874817,0,0,0,-1,-1
2022-02-02 13:21:09.794 +0000,7177.476816291667,0.1890411376953125,0.3147735595703125,-0.8804168701171875,7177.456918291668,0.1357934885788363,0.2259657140046809,-0.486006742246167,0.08324474096298218,-0.110644519329071,-0.04827234148979187,0.004013821482658386,-0.06425151228904724,0.004656076431274414,XArbitraryZVertical,-0.2459580732574184,0.09295747953386943,0.03836594459581377,0.9640496028938385,0.1981040686368942,0.4670987725257874,-0.8617270588874817,0,0,0,-1,-1
2022-02-02 13:21:09.796 +0000,7177.491739291667,0.166839599609375,0.345489501953125,-0.8753204345703125,7177.476816291667,0.1361067914352567,0.223266068175437,-0.4859141246234455,-0.1291891634464264,-0.1629791855812073,0.05128093808889389,0.003188014030456543,-0.1491000652313232,-0.01553726196289062,XArbitraryZVertical,-0.2458759323769022,0.09162185142858967,0.038854697048225,0.9641788476008395,0.1957865655422211,0.467016875743866,-0.8623009324073792,0,0,0,-1,-1
2022-02-02 13:21:09.800 +0000,7177.506631291667,0.17596435546875,0.4026641845703125,-0.865264892578125,7177.496713291667,0.1392452307074384,0.2216228291989434,-0.489290216069543,-0.2286650091409683,-0.1411706358194351,0.1261025965213776,-0.02718207240104675,-0.1245100498199463,-0.01424205303192139,XArbitraryZVertical,-0.2476071761863695,0.09028553077258056,0.04036089016503408,0.9637998383639059,0.1940216571092606,0.4699994921684265,-0.8610784411430359,0,0,0,-1,-1
2022-02-02 13:21:09.805 +0000,7177.521554291667,0.1947021484375,0.4498138427734375,-0.8376312255859375,7177.516580291667,0.1432874491991887,0.2215735676806822,-0.4920020716420536,-0.09968284517526627,-0.06490611284971237,0.1459282487630844,-0.0106692761182785,-0.0534156858921051,0.003182470798492432,XArbitraryZVertical,-0.2490894098841164,0.08963127517149619,0.04214637585980541,0.9634024674741301,0.1936984211206436,0.4723914265632629,-0.8598414063453674,0,0,0,-1,-1
2022-02-02 13:21:09.810 +0000,7177.536478291667,0.22711181640625,0.4821624755859375,-0.8253326416015625,7177.516580291667,0.1432874491991887,0.2215735676806822,-0.4920020716420536,-0.09968284517526627,-0.06490611284971237,0.1459282487630844,-0.0106692761182785,-0.0534156858921051,0.003182470798492432,XArbitraryZVertical,-0.2490894098841164,0.08963127517149619,0.04214637585980541,0.9634024674741301,0.1936984211206436,0.4723914265632629,-0.8598414063453674,0,0,0,-1,-1
2022-02-02 13:21:09.813 +0000,7177.551401291667,0.2327117919921875,0.490142822265625,-0.836181640625,7177.536478291667,0.1464882996246149,0.2225622175617149,-0.4911235640778077,0.08115728944540024,0.003031539032235742,0.136026605963707,0.02349969744682312,0.0007035732269287109,0.0291975736618042,XArbitraryZVertical,-0.2488326755939273,0.08975151973147424,0.04361992817549676,0.9633920805483531,0.1946399360895157,0.4716169536113739,-0.8600539565086365,0,0,0,-1,-1
2022-02-02 13:21:09.818 +0000,7177.566293291668,0.2357177734375,0.4638671875,-0.863983154296875,7177.556375291667,0.148656999434699,0.2238735114520771,-0.4866743575277263,0.2058875560760498,0.03541022166609764,0.1356446295976639,0.03648030757904053,0.02245381474494934,0.02565371990203857,XArbitraryZVertical,-0.2468245303384848,0.0903325034792711,0.04478150942277354,0.9638009205872976,0.1962314546108246,0.4676889777183533,-0.8618353605270386,0,0,0,-1,-1
2022-02-02 13:21:09.823 +0000,7177.581216291667,0.232086181640625,0.464599609375,-0.885711669921875,7177.576242291667,0.1501953643010199,0.2250830209378614,-0.4807268295071105,0.2269664853811264,0.04112495109438896,0.1205188855528831,0.03752154111862183,-0.004354953765869141,-0.01021814346313477,XArbitraryZVertical,-0.2440665296938255,0.09102045135120673,0.04574994714194572,0.9643930076350449,0.197891041636467,0.4624237418174744,-0.86429363489151,0,0,0,-1,-1
2022-02-02 13:21:09.826 +0000,7177.596139291667,0.2111968994140625,0.4586639404296875,-0.8945770263671875,7177.576242291667,0.1501953643010199,0.2250830209378614,-0.4807268295071105,0.2269664853811264,0.04112495109438896,0.1205188855528831,0.03752154111862183,-0.004354953765869141,-0.01021814346313477,XArbitraryZVertical,-0.2440665296938255,0.09102045135120673,0.04574994714194572,0.9643930076350449,0.197891041636467,0.4624237418174744,-0.86429363489151,0,0,0,-1,-1
2022-02-02 13:21:09.828 +0000,7177.611062291667,0.1978607177734375,0.445526123046875,-0.8877716064453125,7177.596139291667,0.1517640615664607,0.2263393256961838,-0.475878744709888,0.1655587702989578,0.03150647133588791,0.1283913105726242,0.02055424451828003,0.006342500448226929,-0.02635931968688965,XArbitraryZVertical,-0.2418386764478963,0.0916767853929108,0.04666142616296204,0.9648482983282012,0.1994774490594864,0.4581197202205658,-0.8662188649177551,0,0,0,-1,-1
2022-02-02 13:21:09.833 +0000,7177.625955291667,0.1770172119140625,0.4552459716796875,-0.8867645263671875,7177.616006291667,0.1540303361994166,0.2277748297686368,-0.4733241905771632,0.05148215219378471,-0.0006216960027813911,0.1233019605278969,-0.003123655915260315,-0.01032146811485291,-0.0207027792930603,XArbitraryZVertical,-0.2407494539843411,0.09222406970273597,0.04774465247317264,0.9650155487356872,0.200984314084053,0.4558475315570831,-0.8670688271522522,0,0,0,-1,-1
2022-02-02 13:21:09.838 +0000,7177.640878291667,0.1663360595703125,0.4977569580078125,-0.8800506591796875,7177.635904291667,0.1567912223566587,0.2291473034648267,-0.4731154047582936,-0.03039924614131451,-0.02860128134489059,0.1146781295537949,-0.02758947014808655,0.01411059498786926,-0.008939206600189209,XArbitraryZVertical,-0.2408098979154222,0.09256449402381246,0.04892491492495385,0.964908633715943,0.2021957635879517,0.4556616842746735,-0.8668848276138306,0,0,0,-1,-1
2022-02-02 13:21:09.840 +0000,7177.655801291667,0.1624603271484375,0.5185699462890625,-0.85467529296875,7177.635904291667,0.1567912223566587,0.2291473034648267,-0.4731154047582936,-0.03039924614131451,-0.02860128134489059,0.1146781295537949,-0.02758947014808655,0.01411059498786926,-0.008939206600189209,XArbitraryZVertical,-0.2408098979154222,0.09256449402381246,0.04892491492495385,0.964908633715943,0.2021957635879517,0.4556616842746735,-0.8668848276138306,0,0,0,-1,-1
2022-02-02 13:21:09.843 +0000,7177.670694291667,0.164947509765625,0.5243988037109375,-0.8609161376953125,7177.655801291667,0.1593059864273409,0.2303890224851381,-0.4727420372283334,0.06013105437159538,-0.03354819118976593,0.07332073152065277,-0.04049962759017944,0.05498561263084412,0.006035089492797852,XArbitraryZVertical,-0.2407778343764821,0.09287999680378213,0.05001279553275267,0.9648306517968682,0.2033108770847321,0.4553292989730835,-0.8667986989021301,0,0,0,-1,-1
2022-02-02 13:21:09.846 +0000,7177.685617291667,0.1482696533203125,0.507537841796875,-0.87750244140625,7177.675668291668,0.1598065793988763,0.2306446024513794,-0.4700541776303281,0.1743858158588409,-0.02539373934268951,0.003085635602474213,-0.03886398673057556,0.07146415114402771,0.007018864154815674,XArbitraryZVertical,-0.239516446416541,0.09308263417093963,0.05039828485916231,0.9651049122369665,0.203811451792717,0.452934592962265,-0.8679350018501282,0,0,0,-1,-1
2022-02-02 13:21:09.852 +0000,7177.700540291667,0.136627197265625,0.4766845703125,-0.913482666015625,7177.695566291667,0.1585197113302577,0.2292980571774917,-0.4665065417227638,0.1376030147075653,-0.03634992614388466,-0.02386701852083206,-0.06007745862007141,0.04806432127952576,-0.01823252439498901,XArbitraryZVertical,-0.2377179419073952,0.09276955126684033,0.05016763663464202,0.9655916716384686,0.2030065059661865,0.4497688710689545,-0.869767963886261,0,0,0,-1,-1
2022-02-02 13:21:09.856 +0000,7177.715463291667,0.1462554931640625,0.4774017333984375,-0.920684814453125,7177.715463291667,0.1572926382371387,0.2271633273251773,-0.4652225346436459,0.01344664022326469,-0.06792427599430084,-0.0227165911346674,-0.06044062972068787,0.03091621398925781,-0.04749739170074463,XArbitraryZVertical,-0.2369905328828296,0.09195016456621713,0.04991099125703072,0.965862093213003,0.2012792229652405,0.4486216902732849,-0.8707613348960876,0,0,0,-1,-1
2022-02-02 13:21:09.858 +0000,7177.730356291667,0.1543731689453125,0.4755859375,-0.924560546875,7177.715463291667,0.1572926382371387,0.2271633273251773,-0.4652225346436459,0.01344664022326469,-0.06792427599430084,-0.0227165911346674,-0.06044062972068787,0.03091621398925781,-0.04749739170074463,XArbitraryZVertical,-0.2369905328828296,0.09195016456621713,0.04991099125703072,0.965862093213003,0.2012792229652405,0.4486216902732849,-0.8707613348960876,0,0,0,-1,-1
2022-02-02 13:21:09.861 +0000,7177.745279291667,0.1739044189453125,0.4967041015625,-0.90545654296875,7177.735330291667,0.1562825733809807,0.2242229083484226,-0.4674347627529079,-0.08250086009502411,-0.1086234971880913,-0.05574794858694077,-0.04412366449832916,0.02498814463615417,-0.05418092012405396,XArbitraryZVertical,-0.2379350836982511,0.09053769951663909,0.04963163914539553,0.9657776720662032,0.1984967887401581,0.4505977034568787,-0.870379626750946,0,0,0,-1,-1
2022-02-02 13:21:09.865 +0000,7177.760202291667,0.18072509765625,0.5000457763671875,-0.8816986083984375,7177.755228291667,0.1544128177389981,0.2204056236465822,-0.4708532007539374,-0.05839550495147705,-0.1331504732370377,-0.1255732327699661,-0.02056437730789185,0.04586485028266907,-0.02059018611907959,XArbitraryZVertical,-0.2394009326797121,0.0887455192762968,0.04896987332715652,0.9656155380898355,0.194834977388382,0.4536468088626862,-0.8696228265762329,0,0,0,-1,-1
2022-02-02 13:21:09.869 +0000,7177.775094291667,0.1884765625,0.4902801513671875,-0.876129150390625,7177.755228291667,0.1544128177389981,0.2204056236465822,-0.4708532007539374,-0.05839550495147705,-0.1331504732370377,-0.1255732327699661,-0.02056437730789185,0.04586485028266907,-0.02059018611907959,XArbitraryZVertical,-0.2394009326797121,0.0887455192762968,0.04896987332715652,0.9656155380898355,0.194834977388382,0.4536468088626862,-0.8696228265762329,0,0,0,-1,-1
