loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z)
2022-02-02 15:22:27.495 +0000,13191.784261,0.2800445556640625,-0.454132080078125,-0.8777008056640625,13191.774322375,-0.9084346827598681,0.112310633736962,0.6396879424521911,0.005337847396731377,0.07513096928596497,0.1295181810855865,0.06338955461978912,-0.06710213422775269,0.02584999799728394,XArbitraryZVertical,0.305469329220823,-0.08985941759446428,-0.3999930373002256,0.8594297025592369,0.08991550654172897,-0.5969451069831848,-0.7972275614738464,0,0,0,-1,-1
2022-02-02 15:22:27.506 +0000,13191.799153,0.3651275634765625,-0.5245208740234375,-0.88739013671875,13191.794179,-0.9130695176788537,0.114553308840266,0.6391677991072536,-0.1623374223709106,-0.05648286268115044,-0.6125869750976562,0.1883058845996857,0.1423956751823425,-0.0803685188293457,XArbitraryZVertical,0.3054916742995931,-0.08949151783793187,-0.4016897459031312,0.8586683760180378,0.09173867106437683,-0.5965277552604675,-0.797332227230072,0,0,0,-1,-1
2022-02-02 15:22:27.511 +0000,13191.814076,0.083770751953125,-1.035003662109375,-0.773223876953125,13191.794179,-0.9130695176788537,0.114553308840266,0.6391677991072536,-0.1623374223709106,-0.05648286268115044,-0.6125869750976562,0.1883058845996857,0.1423956751823425,-0.0803685188293457,XArbitraryZVertical,0.3054916742995931,-0.08949151783793187,-0.4016897459031312,0.8586683760180378,0.09173867106437683,-0.5965277552604675,-0.797332227230072,0,0,0,-1,-1
2022-02-02 15:22:27.517 +0000,13191.828999,0.114105224609375,-0.901580810546875,-0.8221588134765625,13191.814076,-0.926991082047481,0.1195042479915749,0.636527181105753,0.368553102016449,-0.2818764746189117,0.1282176226377487,0.2430099248886108,-0.05415326356887817,-0.08465766906738281,XArbitraryZVertical,0.3047611213613514,-0.0889152080167868,-0.4071527370451868,0.8564120145694621,0.09587254375219345,-0.5944063067436218,-0.7984294891357422,0,0,0,-1,-1
2022-02-02 15:22:27.587 +0000,13191.843892,0.1822052001953125,-0.787750244140625,-0.763519287109375,13191.833974,-0.913713111883718,0.1071803917137604,0.6414221999205195,-0.2237690687179565,-0.04153228551149368,0.5359974503517151,-0.01382932811975479,-0.3996044397354126,-0.003690898418426514,XArbitraryZVertical,0.304929389207934,-0.09324251539987885,-0.4028816863891317,0.8579103759163716,0.08571349084377289,-0.5983355641365051,-0.7966477870941162,0,0,0,-1,-1
2022-02-02 15:22:27.591 +0000,13191.858815,0.2472381591796875,-0.6818084716796875,-0.705596923828125,13191.853841,-0.9034733531630562,0.1030719924898606,0.6336569508395932,-0.3983131051063538,0.1516929417848587,0.3567250967025757,0.09928983449935913,-0.195654571056366,0.03807145357131958,XArbitraryZVertical,0.3012981385118978,-0.09178265844254911,-0.3998118692917438,0.8607821789318982,0.08291538804769516,-0.5920957326889038,-0.8015907406806946,0,0,0,-1,-1
2022-02-02 15:22:27.594 +0000,13191.873738,0.2270660400390625,-0.5539093017578125,-0.729278564453125,13191.853841,-0.9034733531630562,0.1030719924898606,0.6336569508395932,-0.3983131051063538,0.1516929417848587,0.3567250967025757,0.09928983449935913,-0.195654571056366,0.03807145357131958,XArbitraryZVertical,0.3012981385118978,-0.09178265844254911,-0.3998118692917438,0.8607821789318982,0.08291538804769516,-0.5920957326889038,-0.8015907406806946,0,0,0,-1,-1
2022-02-02 15:22:27.596 +0000,13191.888631,0.2239532470703125,-0.5643157958984375,-0.734893798828125,13191.873738,-0.8907956326855376,0.09626304041376671,0.6304816041426652,-0.01618530973792076,-0.03912186250090599,0.596921980381012,0.1717690825462341,-0.03363513946533203,0.08150041103363037,XArbitraryZVertical,0.2991795755489863,-0.09213870938940999,-0.3956507973948336,0.8634017385195096,0.07763583213090897,-0.5895338654518127,-0.8040040731430054,0,0,0,-1,-1
2022-02-02 15:22:27.600 +0000,13191.903554,0.191314697265625,-0.612060546875,-0.758636474609375,13191.893605,-0.8771508363162862,0.08811310235588685,0.6331587689445954,0.1550759673118591,0.03756995871663094,0.6097919940948486,0.1622737497091293,0.0482524037361145,0.07871556282043457,XArbitraryZVertical,0.2993535529597567,-0.09418033822834884,-0.3907424621986113,0.8653541390885946,0.07094159722328186,-0.591694176197052,-0.8030350208282471,0,0,0,-1,-1
2022-02-02 15:22:27.606 +0000,13191.918477,0.1831512451171875,-0.583740234375,-0.7791290283203125,13191.913503,-0.8596117296718098,0.0802041068306743,0.636432331439891,0.03460585325956345,0.2129282504320145,0.8092554807662964,0.1268820017576218,-0.0177304744720459,0.0429995059967041,XArbitraryZVertical,0.3000544043867656,-0.09565235201641947,-0.384053415159273,0.8679406175272101,0.06443271785974503,-0.5943300127983093,-0.8016359806060791,0,0,0,-1,-1
