loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z)
2022-02-02 14:52:14.661 +0000,12035.34324075,0.4149322509765625,-0.57891845703125,-0.7542572021484375,12035.33826575,0.004476849327962745,0.4380310104997282,0.563278875802234,0.00325911701656878,0.07111403346061707,0.08204565942287445,0.01365524530410767,-0.02168744802474976,0.007672369480133057,XArbitraryZVertical,0.2708237181677444,0.2093153167405971,0.06248438620757464,0.9375166752081173,0.3586286902427673,-0.5339613556861877,-0.7656832337379456,0,0,0,-1,-1
2022-02-02 14:52:14.687 +0000,12035.35813275,0.4264373779296875,-0.5183258056640625,-0.747406005859375,12035.33826575,0.004476849327962745,0.4380310104997282,0.563278875802234,0.00325911701656878,0.07111403346061707,0.08204565942287445,0.01365524530410767,-0.02168744802474976,0.007672369480133057,XArbitraryZVertical,0.2708237181677444,0.2093153167405971,0.06248438620757464,0.9375166752081173,0.3586286902427673,-0.5339613556861877,-0.7656832337379456,0,0,0,-1,-1
2022-02-02 14:52:14.726 +0000,12035.37305575,0.4114227294921875,-0.55035400390625,-0.7329559326171875,12035.35813275,0.005380036091196758,0.4383993723201134,0.5645871491888557,0.006369201466441154,0.0140627957880497,-0.006354928016662598,0.06356632709503174,-0.02142095565795898,0.01032501459121704,XArbitraryZVertical,0.2713309622270114,0.2095723437261292,0.06309377326391639,0.937271694415406,0.3586138486862183,-0.535067081451416,-0.7649179100990295,0,0,0,-1,-1
2022-02-02 14:52:14.729 +0000,12035.38797875,0.387115478515625,-0.58416748046875,-0.7242584228515625,12035.37803075,0.004137862318572283,0.4402971903776538,0.5620704831034434,-0.02207333594560623,0.002941642887890339,-0.01599383912980556,0.05775833129882812,-0.0004926919937133789,0.02805542945861816,XArbitraryZVertical,0.2702219338813815,0.2103670737195762,0.06250596736617128,0.9374533061057615,0.3606376647949219,-0.5329393148422241,-0.7654516100883484,0,0,0,-1,-1
2022-02-02 14:52:14.733 +0000,12035.40287175,0.39666748046875,-0.559783935546875,-0.7138214111328125,12035.39792775,0.003127746200790447,0.4441416699922819,0.559475791793751,-0.04877965152263641,0.05798705294728279,0.0733114629983902,0.02294474840164185,-0.05342549085617065,0.04104721546173096,XArbitraryZVertical,0.2689921712759127,0.2121093850821516,0.06227794490852392,0.9374297238580969,0.3641707301139832,-0.5307419896125793,-0.7653056383132935,0,0,0,-1,-1
2022-02-02 14:52:14.738 +0000,12035.41779475,0.405975341796875,-0.5895233154296875,-0.7046051025390625,12035.39792775,0.003127746200790447,0.4441416699922819,0.559475791793751,-0.04877965152263641,0.05798705294728279,0.0733114629983902,0.02294474840164185,-0.05342549085617065,0.04104721546173096,XArbitraryZVertical,0.2689921712759127,0.2121093850821516,0.06227794490852392,0.9374297238580969,0.3641707301139832,-0.5307419896125793,-0.7653056383132935,0,0,0,-1,-1
2022-02-02 14:52:14.741 +0000,12035.43271775,0.4219970703125,-0.5440216064453125,-0.6896514892578125,12035.41779475,0.005428999304275217,0.4447171026147204,0.5603321639952032,-0.06772129237651825,0.07567171007394791,0.1227672770619392,0.03953057527542114,-0.03054410219192505,0.05113863945007324,XArbitraryZVertical,0.2691311684655815,0.2126634521757901,0.06352430813828394,0.9371805610609861,0.3644153773784637,-0.531467616558075,-0.764685332775116,0,0,0,-1,-1
2022-02-02 14:52:14.744 +0000,12035.44764075,0.411651611328125,-0.569183349609375,-0.689697265625,12035.43769275,0.006743849475016313,0.4480329686103459,0.5621311353244894,-0.01620228588581085,0.06517302989959717,0.1423838436603546,0.05035123229026794,-0.02450454235076904,0.06819760799407959,XArbitraryZVertical,0.269727488705694,0.2143412709238711,0.06477749226856915,0.936540854587017,0.3665341734886169,-0.5329906344413757,-0.7626097798347473,0,0,0,-1,-1
2022-02-02 14:52:14.749 +0000,12035.46253375,0.4038543701171875,-0.58428955078125,-0.6834564208984375,12035.45755875,0.00812913829840109,0.4518801861283495,0.5622085416101735,-0.05805064737796783,0.1106055229902267,0.1607566326856613,0.04220423102378845,-0.03612720966339111,0.07145971059799194,XArbitraryZVertical,0.2694888417410088,0.2163268275872675,0.0659528851708463,0.9360709315414805,0.3694473803043365,-0.5330560803413391,-0.7611569166183472,0,0,0,-1,-1
2022-02-02 14:52:14.753 +0000,12035.47745675,0.41827392578125,-0.5549468994140625,-0.6870269775390625,12035.45755875,0.00812913829840109,0.4518801861283495,0.5622085416101735,-0.05805064737796783,0.1106055229902267,0.1607566326856613,0.04220423102378845,-0.03612720966339111,0.07145971059799194,XArbitraryZVertical,0.2694888417410088,0.2163268275872675,0.0659528851708463,0.9360709315414805,0.3694473803043365,-0.5330560803413391,-0.7611569166183472,0,0,0,-1,-1
